id,index,commonNameZh,scientificName,slug,icon_path,photo_url,photo_source,matched_taxon,photo_found
fish-001,001,河豚,Acanthopagrus latus,yellowfin-seabream,assets/fish/icons/generated/001.png,https://inaturalist-open-data.s3.amazonaws.com/photos/41426256/large.jpg,inat_obs,Acanthopagrus latus,1
fish-002,002,魟魚,Spondyliosoma cantharus,black-seabream,assets/fish/icons/generated/002.png,https://inaturalist-open-data.s3.amazonaws.com/photos/531386046/large.jpg,inat_obs,Spondyliosoma cantharus,1
fish-003,003,三角魚,Rhabdosargus sarba,goldlined-seabream,assets/fish/icons/generated/003.png,https://inaturalist-open-data.s3.amazonaws.com/photos/452695506/large.jpeg,inat_obs,Rhabdosargus sarba,1
fish-004,004,三鬚魚,Lutjanus russellii,russell-snapper,assets/fish/icons/generated/004.png,https://inaturalist-open-data.s3.amazonaws.com/photos/83501289/large.jpg,inat_obs,Lutjanus russellii,1
fish-005,005,九肚魚,Lutjanus argentimaculatus,mangrove-red-snapper,assets/fish/icons/generated/005.png,https://static.inaturalist.org/photos/224966772/large.jpeg,inat_obs,Lutjanus argentimaculatus,1
fish-006,006,咬仔鳚,,johns-snapper,assets/fish/icons/generated/006.png,https://upload.wikimedia.org/wikipedia/commons/3/30/Tompot_Blenny_AHG1.jpg,wiki_search_zh,,1
fish-007,007,四指馬友,Epinephelus coioides,orange-spotted-grouper,assets/fish/icons/generated/007.png,https://static.inaturalist.org/photos/421816214/large.jpeg,inat_obs,Epinephelus coioides,1
fish-008,008,大眼扁頭魚,Epinephelus malabaricus,malabar-grouper,assets/fish/icons/generated/008.png,https://static.inaturalist.org/photos/25405443/large.jpg,inat_obs,Epinephelus malabaricus,1
fish-009,009,大頭帶魚,Epinephelus akaara,hong-kong-grouper,assets/fish/icons/generated/009.png,https://static.inaturalist.org/photos/67181260/large.jpeg,inat_obs,Epinephelus akaara,1
fish-010,010,大頭黃姑魚,Plectropomus leopardus,leopard-coral-grouper,assets/fish/icons/generated/010.png,https://inaturalist-open-data.s3.amazonaws.com/photos/368379613/large.jpg,inat_obs,Plectropomus leopardus,1
fish-011,011,寶石隆頭魚,Siganus fuscescens,rabbitfish,assets/fish/icons/generated/011.png,https://inaturalist-open-data.s3.amazonaws.com/photos/459084177/large.jpg,inat_obs,Siganus fuscescens,1
fish-012,012,小帶紋石首魚,Scatophagus argus,spotted-scat,assets/fish/icons/generated/012.png,https://inaturalist-open-data.s3.amazonaws.com/photos/171540853/large.jpeg,inat_obs,Scatophagus argus,1
fish-013,013,岩魚,Chelon labrosus,grey-mullet,assets/fish/icons/generated/013.png,https://inaturalist-open-data.s3.amazonaws.com/photos/162225594/large.jpg,inat_obs,Chelon labrosus,1
fish-014,014,斑點石鱸,Ellochelon vaigiensis,large-scale-mullet,assets/fish/icons/generated/014.png,https://inaturalist-open-data.s3.amazonaws.com/photos/23475092/large.jpeg,inat_obs,Ellochelon vaigiensis,1
fish-015,015,斑點金鼓,Lateolabrax japonicus,japanese-seabass,assets/fish/icons/generated/015.png,https://static.inaturalist.org/photos/61342151/large.jpg,inat_obs,Lateolabrax japonicus,1
fish-016,016,斑點鱚,Lates calcarifer,barramundi,assets/fish/icons/generated/016.png,https://inaturalist-open-data.s3.amazonaws.com/photos/185179192/large.jpg,inat_obs,Lates calcarifer,1
fish-017,017,旗魚,Eleutheronema tetradactylum,fourfinger-threadfin,assets/fish/icons/generated/017.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5002958/large.jpg,inat_obs,Eleutheronema tetradactylum,1
fish-018,018,日本真鱸,Trichiurus lepturus,largehead-hairtail,assets/fish/icons/generated/018.png,https://static.inaturalist.org/photos/181477483/large.jpg,inat_obs,Trichiurus lepturus,1
fish-019,019,日本馬頭魚,Platycephalus indicus,bartail-flathead,assets/fish/icons/generated/019.png,https://inaturalist-open-data.s3.amazonaws.com/photos/396400155/large.jpeg,inat_obs,Platycephalus indicus,1
fish-020,020,條紋伏波魚,,bigeye-flathead,assets/fish/icons/generated/020.png,https://upload.wikimedia.org/wikipedia/commons/1/1f/Notropis_stramineus.jpg,wiki_search_zh,,1
fish-021,021,梭子魚,Synodus variegatus,lizardfish,assets/fish/icons/generated/021.png,https://inaturalist-open-data.s3.amazonaws.com/photos/30808247/large.jpg,inat_obs,Synodus variegatus,1
fish-022,022,沙甸魚,Harpadon nehereus,bombay-duck,assets/fish/icons/generated/022.png,https://static.inaturalist.org/photos/22207916/large.jpeg,inat_obs,Harpadon nehereus,1
fish-023,023,油魚,,,assets/fish/icons/generated/023.png,https://upload.wikimedia.org/wikipedia/commons/8/8b/Dongtae-jeon_and_donggeurang-ttaeng.jpg,wiki_search_en,,1
fish-024,024,海鯽,Nemipterus virgatus,golden-threadfin-bream,assets/fish/icons/generated/024.png,https://inaturalist-open-data.s3.amazonaws.com/photos/199294742/large.jpg,inat_obs,Nemipterus virgatus,1
fish-025,025,海鱔,Umbrina roncador,yellow-croaker,assets/fish/icons/generated/025.png,https://static.inaturalist.org/photos/50887928/large.jpg,inat_obs,Umbrina roncador,1
fish-026,026,獨角革魨,Pennahia macrocephala,big-head-croaker,assets/fish/icons/generated/026.png,https://inaturalist-open-data.s3.amazonaws.com/photos/167191195/large.jpeg,inat_obs,Pennahia macrocephala,1
fish-027,027,白點竹鯊,Chiloscyllium plagiosum,reeves-croaker,assets/fish/icons/generated/027.png,https://inaturalist-open-data.s3.amazonaws.com/photos/452814206/large.jpeg,inat_sci_refresh,Chiloscyllium plagiosum,1
fish-028,028,皇帝魚,Leiognathus equula,ponyfish,assets/fish/icons/generated/028.png,https://inaturalist-open-data.s3.amazonaws.com/photos/72776138/large.jpg,inat_obs,Leiognathus equula,1
fish-029,029,短吻飛魚,Photopectoralis bindus,orangefin-ponyfish,assets/fish/icons/generated/029.png,https://inaturalist-open-data.s3.amazonaws.com/photos/425931931/large.jpeg,inat_obs,Photopectoralis bindus,1
fish-030,030,石首魚,Gnathanodon speciosus,golden-trevally,assets/fish/icons/generated/030.png,https://inaturalist-open-data.s3.amazonaws.com/photos/361844564/large.jpeg,inat_obs,Gnathanodon speciosus,1
fish-031,031,窄帶馬鮫,Platycaranx malabaricus,malabar-trevally,assets/fish/icons/generated/031.png,https://inaturalist-open-data.s3.amazonaws.com/photos/396455734/large.jpeg,inat_obs,Platycaranx malabaricus,1
