id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-016,016,斑點鱚,Lates calcarifer,assets/fish/icons/generated/016.png,https://inaturalist-open-data.s3.amazonaws.com/photos/185179192/large.jpg,data\fish_audit4\photo_cache\fish-016.jpg,"#F0F0F0,#101010,#1070D0","#90B070,#909070,#909050",0.9075,51.14,7.35,43.79,高風險
fish-017,017,旗魚,Eleutheronema tetradactylum,assets/fish/icons/generated/017.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5002958/large.jpg,data\fish_audit4\photo_cache\fish-017.jpg,"#F0F0F0,#101010,#303030","#70B0D0,#7090D0,#507090",0.9361,51.51,11.17,40.34,高風險
fish-018,018,日本真鱸,Trichiurus lepturus,assets/fish/icons/generated/018.png,https://static.inaturalist.org/photos/181477483/large.jpg,data\fish_audit4\photo_cache\fish-018.jpg,"#303030,#F0F0F0,#505050","#707050,#705050,#909090",0.6620,50.29,14.05,36.24,中風險
fish-019,019,日本馬頭魚,Platycephalus indicus,assets/fish/icons/generated/019.png,https://inaturalist-open-data.s3.amazonaws.com/photos/396400155/large.jpeg,data\fish_audit4\photo_cache\fish-019.jpg,"#301050,#301070,#F0F0F0","#F0F0F0,#707070,#F0D0D0",0.6497,41.31,54.50,13.19,低風險
fish-020,020,條紋伏波魚,,assets/fish/icons/generated/020.png,https://upload.wikimedia.org/wikipedia/commons/1/1f/Notropis_stramineus.jpg,data\fish_audit4\photo_cache\fish-020.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#F0F0F0,#D0D0B0,#F0D0B0",0.5859,19.83,11.40,8.43,低風險
fish-021,021,梭子魚,Synodus variegatus,assets/fish/icons/generated/021.png,https://inaturalist-open-data.s3.amazonaws.com/photos/30808247/large.jpg,data\fish_audit4\photo_cache\fish-021.jpg,"#F0F0F0,#D01010,#B01010","#705050,#907070,#503030",0.8081,46.83,23.39,23.43,中風險
fish-022,022,沙甸魚,Harpadon nehereus,assets/fish/icons/generated/022.png,https://static.inaturalist.org/photos/22207916/large.jpeg,data\fish_audit4\photo_cache\fish-022.jpg,"#D0F0F0,#1090D0,#F0F0F0","#907070,#909090,#D0D0D0",0.9685,23.74,31.55,7.82,中風險
fish-023,023,油魚,,assets/fish/icons/generated/023.png,https://upload.wikimedia.org/wikipedia/commons/8/8b/Dongtae-jeon_and_donggeurang-ttaeng.jpg,data\fish_audit4\photo_cache\fish-023.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#B09050,#907030,#907050",0.9963,19.83,20.18,0.35,中風險
fish-024,024,海鯽,Nemipterus virgatus,assets/fish/icons/generated/024.png,https://inaturalist-open-data.s3.amazonaws.com/photos/199294742/large.jpg,data\fish_audit4\photo_cache\fish-024.jpg,"#F0F0F0,#D0F0F0,#30D0F0","#B0B0B0,#907050,#907070",0.8687,16.03,20.50,4.47,中風險
fish-025,025,海鱔,Umbrina roncador,assets/fish/icons/generated/025.png,https://static.inaturalist.org/photos/50887928/large.jpg,data\fish_audit4\photo_cache\fish-025.jpg,"#101010,#303010,#901010","#303030,#505030,#101010",0.5266,42.09,26.70,15.39,低風險
fish-026,026,獨角革魨,Pennahia macrocephala,assets/fish/icons/generated/026.png,https://inaturalist-open-data.s3.amazonaws.com/photos/167191195/large.jpeg,data\fish_audit4\photo_cache\fish-026.jpg,"#505050,#707050,#105090","#90B0D0,#7090B0,#B0D0F0",0.7919,32.48,40.76,8.28,中風險
fish-027,027,白點竹鯊,,assets/fish/icons/generated/027.png,https://upload.wikimedia.org/wikipedia/commons/b/b0/Chrysochir_aureus_%28Richardson%2C_1846%29.jpg,data\fish_audit4\photo_cache\fish-027.jpg,"#905010,#D09010,#F0F0F0","#1070B0,#105090,#1050B0",0.9668,43.01,4.35,38.67,高風險
fish-028,028,皇帝魚,Leiognathus equula,assets/fish/icons/generated/028.png,https://inaturalist-open-data.s3.amazonaws.com/photos/72776138/large.jpg,data\fish_audit4\photo_cache\fish-028.jpg,"#503010,#705010,#F0F0F0","#905030,#D0D0D0,#705030",0.6505,41.95,23.58,18.38,低風險
fish-029,029,短吻飛魚,Photopectoralis bindus,assets/fish/icons/generated/029.png,https://inaturalist-open-data.s3.amazonaws.com/photos/425931931/large.jpeg,data\fish_audit4\photo_cache\fish-029.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#D0D0D0,#909070,#705050",0.8442,19.83,24.61,4.78,中風險
