new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,photo_url,photo_source,icon_path
030,石首魚,石首,Helotes octolineatus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/560865392/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/030.png
031,窄帶馬鮫,馬鮫,Scomberomorus commerson,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/218054923/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/031.png
032,紅魔鬼岩魚,紅魔鬼,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/032.png
033,羊魚,鬚鯛,Upeneichthys porosus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/597242015/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/033.png
034,羊魚（鬚）,鬚羊魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/034.png
035,花生魚,花生魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/035.png
036,花鰹,花煙,Euthynnus affinis,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/490499838/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/036.png
037,蛋斑隆頭魚,青衣,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/037.png
038,角聲魚,角聲,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/038.png
039,豹紋珊瑚鱸,東星斑,Plectropomus leopardus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/368379613/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/039.png
040,連米銀腹魚,連米魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/040.png
041,里夫黃姑魚,花黃姑,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/041.png
042,金目鱸,金目鱸,Lates calcarifer,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/185179192/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/042.png
043,金線馬頭魚,紅衫馬頭,Nemipterus virgatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/199294742/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/043.png
044,銀鯡,鯡魚,Gerres subfasciatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/273254451/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/044.png
045,銀鯧,白鯧,Pampus argenteus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/22208601/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/045.png
046,銀鱚,沙鑽,Sillago argentifasciata,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/046.png
047,青鱗小沙丁,青鱗沙甸,,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/430734377/large.jpg,inaturalist_by_common,assets/fish/icons/generated/047.png
048,髭尾扁頭魚,牛鰍魚,Platycephalus indicus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/610324367/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/048.png
049,鮣魚,貼魚,Remora remora,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/114608642/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/049.png
050,鯷魚,鯷仔,Engraulis australis,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/410499471/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/050.png
051,鰶魚,鰶魚,Dorosoma cepedianum,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/13512005/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/051.png
052,黃姑魚,黃花魚,Umbrina roncador,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/50887928/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/052.png
053,黃甲魚,黃甲,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/053.png
054,黑帶金鼓,黑帶金鼓,Neoscorpis lithophilus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/595194086/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/054.png
055,黑邊銀鯽,黑邊銀鯽,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/055.png
056,黑鯧,黑鯧,Parastromateus niger,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/240696337/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/056.png
057,鼠尾隆頭魚,老鼠斑衣,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/057.png
058,龍舟魚,龍舟,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/058.png
059,半嘴魚,半嘴,Hemiramphus far,其他魚類,細長型,,https://static.inaturalist.org/photos/87077055/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/059.png
060,針魚,針魚,Petalichthys capensis,其他魚類,細長型,,https://inaturalist-open-data.s3.amazonaws.com/photos/197668546/large.jpg,inaturalist_by_common,assets/fish/icons/generated/060.png
061,青針魚,青針,,其他魚類,細長型,,,not_found,assets/fish/icons/generated/061.png
062,比目魚,左口魚,Asterorhombus cocosensis,底棲近岸類,扁平型,,https://inaturalist-open-data.s3.amazonaws.com/photos/59034671/large.jpeg,inaturalist_by_common,assets/fish/icons/generated/062.png
063,海鯰,海塘蝨,Genidens barbus,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/467915811/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/063.png
064,大鱗烏頭,大眼烏頭,Ellochelon vaigiensis,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/23475092/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/064.png
065,彈塗魚,彈塗,Periophthalmus barbarus,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/348457955/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/065.png
066,灰烏頭,烏頭,Chelon labrosus,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/291922759/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/066.png
067,狗母魚,狗母,Synodus variegatus,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/30808247/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/067.png
068,花狗母魚,花狗母,,底棲近岸類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/630414239/large.jpg,inaturalist_by_common,assets/fish/icons/generated/068.png
069,鰕虎魚,狗公魚,Neogobius melanostomus,底棲近岸類,標準紡錘型,,https://static.inaturalist.org/photos/13163749/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/069.png
070,鰻尾鯰,海塘蝨,Tandanus tandanus,底棲近岸類,細長型,,https://inaturalist-open-data.s3.amazonaws.com/photos/538401186/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/070.png
