id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
I039,青洲,Green Island,island,true,Central & Western,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.38956402,114.313427989,map.gov.hk locationSearch + geodetic transform,
I040,蝦鬚排,Ha So Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.224056148,114.015835449,map.gov.hk locationSearch + geodetic transform,
I041,孝子角排,Hau Tsz Kok Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.480822864,114.353552023,map.gov.hk locationSearch + geodetic transform,
I042,喜靈洲,Hei Ling Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.253020239,114.038455042,map.gov.hk locationSearch + geodetic transform,
I043,蜆排,Hin Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.483183127,114.33281826,map.gov.hk locationSearch + geodetic transform,
I044,殼仔排,Hok Tsai Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.271544109,114.350668282,map.gov.hk locationSearch + geodetic transform,
I045,香港島,Hong Kong Island,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.26075398,114.196782682,map.gov.hk locationSearch + geodetic transform,
I046,紅排,Hung Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.509830977,114.290618257,map.gov.hk locationSearch + geodetic transform,
I047,雞洲,Kai Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.366978044,114.324474484,map.gov.hk locationSearch + geodetic transform,
I048,吉澳,Kat O,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.542029884,114.295233151,map.gov.hk locationSearch + geodetic transform,
I049,狗脾洲,Kau Pei Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.204608039,114.260345479,map.gov.hk locationSearch + geodetic transform,
I050,滘西洲,Kau Sai Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.359582159,114.314078347,map.gov.hk locationSearch + geodetic transform,
I051,交椅洲,Kau Yi Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.28402343,114.076753415,map.gov.hk locationSearch + geodetic transform,
I052,橋頭,Kiu Tau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.480710413,114.154184803,map.gov.hk locationSearch + geodetic transform,
I053,橋咀洲,Kiu Tsui Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.364925748,114.29427701,map.gov.hk locationSearch + geodetic transform,
I054,高排,Ko Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.531132585,114.292035477,map.gov.hk locationSearch + geodetic transform,
I055,角大排,Kok Tai Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.514465281,114.300526239,map.gov.hk locationSearch + geodetic transform,
