id,name,clean_name,type,is_island,district,radius_meters,lat,lon,geo_display,source
island_058,"A Chau (, Centre Island)",A Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_059,Adamasta Rock (),Adamasta Rock,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_060,Ap Chau Mei Pak Tun Pai (),Ap Chau Mei Pak Tun Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_061,Ap Chau Pak Tun Pai (),Ap Chau Pak Tun Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_062,"Ap Chau (, Robinson Island)",Ap Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_063,"Ap Lei Chau (, Aberdeen Island)",Ap Lei Chau,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_064,Ap Lei Pai (),Ap Lei Pai,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_065,Ap Lo Chun (),Ap Lo Chun,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_066,Ap Tan Pai (),Ap Tan Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_067,Ap Tau Pai (),Ap Tau Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_068,"Bay Islet (, See Chau)",Bay Islet,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_069,Breaker Reef (),Breaker Reef,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_070,Bun Bei Chau (),Bun Bei Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_071,Bun Sha Pai (),Bun Sha Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_072,Cha Kwo Chau (),Cha Kwo Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_073,Cha Yue Pai (),Cha Yue Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_074,Cham Pai (),Cham Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_075,Cham Tau Chau (),Cham Tau Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_076,Chap Mo Chau (),Chap Mo Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_077,Chau Tsai Kok (),Chau Tsai Kok,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_078,Chau Tsai (),Chau Tsai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_079,Che Lei Pai (),Che Lei Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_080,"Chek Chau (, Port Island)",Chek Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_081,Chek Lap Kok (),Chek Lap Kok,island,true,Islands – now assimilated with Lam Chau into the airport platform and connected to Lantau Island by two bridges,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_082,Cheung Chau (),Cheung Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_083,Cheung Shek Tsui (),Cheung Shek Tsui,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_084,Cheung Sok (),Cheung Sok,island,true,Tsuen Wan,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_085,Cheung Tsui Chau (),Cheung Tsui Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_086,"Ching Chau (, distinct from Steep Island)",Ching Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_087,Conic Island (),Conic Island,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_088,Douglas Rock (),Douglas Rock,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_089,"Flat Island (, Ngan Chau)",Flat Island,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_090,"Fo Shek Chau (, Basalt Island)",Fo Shek Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_091,Fo Siu Pai (),Fo Siu Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_092,Fu Wong Chau (),Fu Wong Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_093,Fun Chau (),Fun Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_094,Green Island (),Green Island,island,true,Central & Western,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_095,Ha So Pai (),Ha So Pai,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_096,Hau Tsz Kok Pai (),Hau Tsz Kok Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_097,Hei Ling Chau (),Hei Ling Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_098,Hin Pai (),Hin Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_099,Hok Tsai Pai (),Hok Tsai Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_100,Hong Kong Island (),Hong Kong Island,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_101,Hung Pai (),Hung Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_102,Kai Chau (),Kai Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_103,"Kat O (, Crooked Island)",Kat O,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_104,Kau Pei Chau (),Kau Pei Chau,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_105,Kau Sai Chau (),Kau Sai Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_106,Kau Yi Chau (),Kau Yi Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_107,Kiu Tau (),Kiu Tau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_108,"Kiu Tsui Chau (, Sharp Island)",Kiu Tsui Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_109,Ko Pai (),Ko Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_110,Kok Tai Pai (),Kok Tai Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_111,Kong Tau Pai (),Kong Tau Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_112,Kowloon Rock (),Kowloon Rock,island,true,Kowloon City,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_113,Kung Chau (),Kung Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_114,Kwun Cham Wan (),Kwun Cham Wan,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_115,Kwun Tsai (),Kwun Tsai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_116,Lak Lei Tsai (),Lak Lei Tsai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_117,Lamma Island (),Lamma Island,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_118,Lan Shuen Pei (),Lan Shuen Pei,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_119,Lan Tau Pai (),Lan Tau Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_120,Lantau Island (),Lantau Island,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_121,Lap Sap Chau (),Lap Sap Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_122,Little Green Island (),Little Green Island,island,true,Central & Western,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_123,Lo Chau (),Lo Chau,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_124,Lo Chi Pai (),Lo Chi Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_125,Lo Fu Tiu Pai (),Lo Fu Tiu Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_126,Lo Shue Pai (),Lo Shue Pai,island,true,Eastern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_127,Loaf Rock (),Loaf Rock,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_128,"Luk Chau (), formerly George I.","Luk Chau , formerly George I",island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_129,Lung Kwu Chau (),Lung Kwu Chau,island,true,Tuen Mun,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_130,Lung Shan Pai (),Lung Shan Pai,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_131,Lung Shuen Pai (),Lung Shuen Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_132,Lut Chau (),Lut Chau,island,true,Yuen Long,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_133,Ma Shi Chau (),Ma Shi Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_134,Ma Tsai Pai (),Ma Tsai Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_135,Ma Wan (),Ma Wan,island,true,Tsuen Wan,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_136,Ma Yan Pai (),Ma Yan Pai,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_137,"Magazine Island (, Fo Yeuk Chau)",Magazine Island,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_138,Mei Pai (),Mei Pai,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_139,Middle Island (),Middle Island,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_140,Mong Chau Tsai (),Mong Chau Tsai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_141,"Moon Island (, Mo Chau)",Moon Island,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_142,Muk Yue Chau (),Muk Yue Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_143,Nam Fung Chau (),Nam Fung Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_144,Ng Fan Chau (),Ng Fan Chau,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_145,Nga Ying Chau (),Nga Ying Chau,island,true,Sai Kung Southeast to Ching Chau (),250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
