id,name_zh,name_en,type,is_island,district,radius_meters,source
I051,交椅洲,Kau Yi Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I052,橋頭,Kiu Tau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I053,橋咀洲,Kiu Tsui Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I054,高排,Ko Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I055,角大排,Kok Tai Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I056,光頭排,Kong Tau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I057,九龍石,Kowloon Rock,island,true,Kowloon City,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I058,弓洲,Kung Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I059,罐杉環,Kwun Cham Wan,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I060,觀仔,Kwun Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I061,癩痢仔,Lak Lei Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I062,南丫島,Lamma Island,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I063,爛樹排,Lan Shuen Pei,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I064,爛頭排,Lan Tau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I065,大嶼山,Lantau Island,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I066,垃圾洲,Lap Sap Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I067,小青洲,Little Green Island,island,true,Central & Western,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I068,羅洲,Lo Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I069,鷀鸕排,Lo Chi Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I070,老虎吊排,Lo Fu Tiu Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I071,老鼠排,Lo Shue Pai,island,true,Eastern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I072,饅頭排,Loaf Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I073,鹿洲,Luk Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I074,龍鼓洲,Lung Kwu Chau,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I075,龍山排,Lung Shan Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I076,龍船排,Lung Shuen Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I077,甩洲,Lut Chau,island,true,Yuen Long,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I078,馬屎洲,Ma Shi Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I079,孖仔排,Ma Tsai Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I080,馬灣,Ma Wan,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I081,媽印排,Ma Yan Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I082,火藥洲,Magazine Island,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I083,尾排,Mei Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I084,熨波洲,Middle Island,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I085,芒洲仔,Mong Chau Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I086,磨洲,Moon Island,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I087,木魚洲,Muk Yue Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I088,南風洲,Nam Fung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I089,五分洲,Ng Fan Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I090,牙鷹洲,Nga Ying Chau,island,true,Sai Kung Southeast to Ching Chau ({{zh|t=青洲|labels=no}}),250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I091,牙鷹排,Nga Ying Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I092,岩口石,Ngam Hau Shek,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I093,牛屎砵,Ngau Shi Pui,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I094,牛頭排,Ngau Tau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I095,娥眉洲,Ngo Mei Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I096,果洲群島,Ninepin Group,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I097,"白洲, Tree Island",Pak Chau,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I098,筆架洲,Pak Ka Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I099,白馬咀排,Pak Ma Tsui Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I100,白排,Pak Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I101,白沙洲,Pak Sha Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I102,筆架洲,Pat Ka Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I103,雞翼角,Peaked Hill,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I104,坪洲,Peng Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I105,龍珠島,Pearl Island,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I106,扁洲,Pin Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I107,平洲,Ping Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I108,平面洲,Ping Min Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I109,破邊洲,Po Pin Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I110,蒲苔群島,Po Toi Islands,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I111,蒲魚排,Po Yue Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I112,半山石,Pun Shan Shek,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I113,尖柱石,Pyramid Rock,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I114,銀洲,Round Island,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I115,細鴨洲,Sai Ap Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I116,三排,Sam Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
